iter	Passed	Remaining
692	1267	71869
693	1268	71862
694	1270	71851
695	1271	71800
696	1273	71792
697	1274	71783
698	1276	71776
699	1278	71773
700	1280	71767
701	1282	71769
702	1283	71762
703	1285	71756
704	1287	71749
705	1288	71741
706	1290	71733
707	1292	71725
708	1294	71718
709	1295	71713
710	1297	71701
711	1299	71713
712	1301	71706
713	1302	71645
714	1303	71635
715	1305	71628
716	1307	71614
717	1308	71605
718	1310	71593
719	1312	71587
720	1314	71588
721	1315	71582
722	1317	71574
723	1319	71566
724	1320	71561
725	1322	71549
726	1324	71540
727	1325	71528
728	1327	71526
729	1329	71522
730	1331	71514
731	1333	71509
732	1334	71505
733	1336	71501
734	1337	71459
735	1339	71461
736	1341	71453
737	1344	71507
738	1345	71458
739	1346	71451
740	1348	71446
741	1350	71436
742	1351	71426
743	1353	71418
744	1355	71416
745	1357	71409
746	1358	71400
747	1360	71393
748	1362	71381
749	1363	71374
750	1365	71366
751	1367	71359
752	1369	71354
753	1370	71340
754	1372	71328
755	1373	71323
756	1375	71318
757	1377	71304
758	1378	71292
759	1380	71284
760	1381	71251
761	1383	71249
762	1385	71245
763	1387	71240
764	1388	71228
765	1390	71221
766	1392	71211
767	1393	71206
768	1395	71199
769	1397	71187
770	1399	71190
771	1400	71184
772	1402	71176
773	1404	71164
774	1405	71159
775	1407	71149
776	1409	71139
777	1411	71136
778	1412	71125
779	1413	71076
780	1415	71076
781	1417	71070
782	1419	71074
783	1420	71066
784	1422	71062
785	1424	71053
786	1425	71040
787	1427	71028
788	1429	71025
789	1430	71018
790	1432	71009
791	1434	70996
792	1435	70985
793	1437	70981
794	1439	70976
795	1440	70948
796	1442	70944
797	1444	70969
798	1446	70962
799	1447	70948
800	1449	70948
801	1451	70944
802	1453	70937
803	1454	70927
804	1456	70922
805	1457	70873
806	1459	70866
807	1460	70856
808	1462	70852
809	1464	70832
810	1465	70833
811	1467	70829
812	1469	70819
813	1471	70817
814	1472	70809
815	1474	70801
816	1476	70792
817	1477	70786
